"substances","appl","day2","day7","sr2","sr7"
"MA",11,2,1,0.181818181818182,0.0909090909090909
"MA",12,3,2,0.25,0.166666666666667
"MA",12,2,2,0.166666666666667,0.166666666666667
"MA",11,2,1,0.181818181818182,0.0909090909090909
"TA",11,8,8,0.727272727272727,0.727272727272727
"TA",12,9,9,0.75,0.75
"TA",9,9,8,1,0.888888888888889
"TA",10,9,6,0.9,0.6
"C",13,2,2,0.153846153846154,0.153846153846154
"C",10,2,1,0.2,0.1
"C",11,0,0,0,0
"C",9,2,1,0.222222222222222,0.111111111111111
"R",9,8,8,0.888888888888889,0.888888888888889
"R",11,8,7,0.727272727272727,0.636363636363636
"R",10,5,5,0.5,0.5
"R",9,6,6,0.666666666666667,0.666666666666667
"H",9,7,7,0.777777777777778,0.777777777777778
"H",10,9,4,0.9,0.4
"H",12,10,7,0.833333333333333,0.583333333333333
"H",10,9,8,0.9,0.8
"CTRL",12,12,12,1,1
"CTRL",14,14,14,1,1
"CTRL",10,10,10,1,1
"CTRL",8,8,8,1,1
