"C100",0.0207336523125997,0.122408293460925,0.0256178283958676,0.0894600369979152
"R100",0,0.12014163372859,0,0.104120177151592
"H100",0.0263157894736842,0.31234335839599,0.0526315789473684,0.0738578350831729
"TA100",0.110244360902256,0.410025062656642,0.124629730305693,0.287531485337839
"CTRL",0.19597995120087,0.831758385513126,0.051698654530268,0.0768887041628169
"CA10",0.368825259989053,0.847341954022989,0.0533078222413687,0.163239194987061
"FA10",0.294966808553765,0.849118273031316,0.197514156061313,0.0851591250775478
"PA10",0.218023255813953,0.80302540913006,0.12931680672498,0.0885738907882794
"PCA100",0.245833333333333,0.838425925925926,0.217466472511665,0.136463388920893
"SC1",0.279532967032967,0.919261294261294,0.23435754948744,0.080020422887487
