"substances","conc","gr","gr.sd","conc.numeric"
"C","h",0.0550595238095238,0.084651563412666,90
"H","h",0.0295454545454545,0.0349142988539482,120
"MA","h",0.293987810435179,0.2461496246543,480.5
"R","h",0.624253398441757,0.322968722070637,120
"TA","h",0.627603065539112,0.308478753286758,50
"C","l",0.582774936061381,0.101380621457418,20
"H","l",0.698413631022327,0.151637461350318,20
"MA","l",0.666869362521536,0.216169736282251,144.1
"R","l",0.795833333333333,0.105738146170413,20
"TA","l",0.739010989010989,0.310864728787157,20
"C","m",0.290533190615427,0.0246530755019903,50
"CTRL","m",0.804457302046502,0.195660362450476,0
"H","m",0.225444664031621,0.108805953736161,80
"MA","m",0.705017056530214,0.277706367184616,192.2
"R","m",0.727941176470588,0.284588271770053,60
"TA","m",0.839616402116402,0.153702622276701,35
