"substances","conc","appl","day7","gr","conc.numeric"
"MA","l",44,20,0.454545454545455,144.1
"MA","l",52,36,0.692307692307692,144.1
"MA","l",23,22,0.956521739130435,144.1
"MA","l",39,22,0.564102564102564,144.1
"MA","m",27,26,0.962962962962963,192.2
"MA","m",24,21,0.875,192.2
"MA","m",50,32,0.64,192.2
"MA","m",38,13,0.342105263157895,192.2
"MA","h",19,12,0.631578947368421,480.5
"MA","h",22,7,0.318181818181818,480.5
"MA","h",21,3,0.142857142857143,480.5
"MA","h",24,2,0.0833333333333333,480.5
"TA","l",29,29,1,20
"TA","l",24,24,1,20
"TA","l",28,16,0.571428571428571,20
"TA","l",39,15,0.384615384615385,20
"TA","m",27,22,0.814814814814815,35
"TA","m",42,38,0.904761904761905,35
"TA","m",17,17,1,35
"TA","m",36,23,0.638888888888889,35
"TA","h",15,14,0.933333333333333,50
"TA","h",24,19,0.791666666666667,50
"TA","h",43,24,0.558139534883721,50
"TA","h",44,10,0.227272727272727,50
"C","l",23,13,0.565217391304348,20
"C","l",17,12,0.705882352941177,20
"C","l",30,18,0.6,20
"C","l",50,23,0.46,20
"C","m",28,9,0.321428571428571,50
"C","m",27,8,0.296296296296296,50
"C","m",19,5,0.263157894736842,50
"C","m",32,9,0.28125,50
"C","h",24,1,0.0416666666666667,90
"C","h",28,5,0.178571428571429,90
"C","h",26,0,0,90
"C","h",33,0,0,90
"R","l",36,30,0.833333333333333,20
"R","l",36,33,0.916666666666667,20
"R","l",30,23,0.766666666666667,20
"R","l",15,10,0.666666666666667,20
"R","m",24,15,0.625,60
"R","m",34,31,0.911764705882353,60
"R","m",16,6,0.375,60
"R","m",15,15,1,60
"R","h",23,22,0.956521739130435,120
"R","h",32,27,0.84375,120
"R","h",21,8,0.380952380952381,120
"R","h",19,6,0.315789473684211,120
"H","l",36,30,0.833333333333333,20
"H","l",23,19,0.826086956521739,20
"H","l",37,21,0.567567567567568,20
"H","l",30,17,0.566666666666667,20
"H","m",23,6,0.260869565217391,80
"H","m",20,7,0.35,80
"H","m",44,4,0.0909090909090909,80
"H","m",30,6,0.2,80
"H","h",25,0,0,120
"H","h",21,0,0,120
"H","h",44,3,0.0681818181818182,120
"H","h",20,1,0.05,120
"CTRL","m",34,21,0.617647058823529,0
"CTRL","m",61,40,0.655737704918033,0
"CTRL","m",24,24,1,0
"CTRL","m",36,34,0.944444444444444,0
